id_cliente,nome,cidade,estado,regiao
144,Adriana Santos Barbosa,Guara,DF,Centro-oeste
145,Jose Barbosa Souza,Sao Jose dos Campos,SP,Sudeste
146,Larissa Rocha Vieira,Garanhuns,PE,Nordeste
147,Ana Ribeiro Oliveira,Cascavel,PR,Sul
148,Camila Oliveira Mendes,Uberaba,MG,Sudeste
149,Daniel Ribeiro Rodrigues,Salvador,BA,Nordeste
150,Pedro Ribeiro Costa,Duque de Caxias,RJ,Sudeste
151,Vanessa Rocha Santos,Juiz de Fora,MG,Sudeste
152,Simone Vieira Ferreira,Passo Fundo,RS,Sul
153,Diego Barbosa Pereira,Gravatai,RS,Sul
154,Leticia Gomes Carvalho,Erechim,RS,Sul
155,Ana Costa Martins,Londrina,PR,Sul
156,Gustavo Rocha Rodrigues,Salvador,BA,Nordeste
157,Marcelo Martins Pereira,Sorocaba,SP,Sudeste
158,Tatiane Ribeiro Rodrigues,Ipatinga,MG,Sudeste
159,Luana Oliveira Silva,Sobradinho,DF,Centro-oeste
160,Luiz Pereira Gomes,Guara,DF,Centro-oeste
161,Gustavo Costa Vieira,Betim,MG,Sudeste
162,Rafael Pereira Mendes,Feira de Santana,BA,Nordeste
163,Adriana Rocha Nunes,Paulista,PE,Nordeste
164,Amanda Oliveira Martins,Belo Horizonte,MG,Sudeste
165,Claudia Ferreira Barbosa,Angra dos Reis,RJ,Sudeste
166,Jose Alves Santos,Maues,AM,Norte
167,Ricardo Alves Gomes,Volta Redonda,RJ,Sudeste
168,Isabela Barbosa Carvalho,Camacari,BA,Nordeste
169,Isabela Araujo Oliveira,Foz do Iguacu,PR,Sul
170,Fernando Gomes Gomes,Crato,CE,Nordeste
171,Mateus Martins Vieira,Paulista,PE,Nordeste
172,Priscila Ferreira Silva,Uberlandia,MG,Sudeste
173,Amanda Martins Carvalho,Crato,CE,Nordeste
174,Antonio Mendes Rodrigues,Ponta Grossa,PR,Sul
175,Paulo Costa Rocha,Paranagua,PR,Sul
176,Sandra Costa Alves,Ipatinga,MG,Sudeste
177,Mariana Ribeiro Martins,Maringa,PR,Sul
178,Larissa Pereira Souza,Sorocaba,SP,Sudeste
179,Leticia Nunes Rodrigues,Igarassu,PE,Nordeste
180,Bruno Mendes Oliveira,Caninde,CE,Nordeste
181,Thiago Nunes Mendes,Campinas,SP,Sudeste
182,Paulo Ferreira Ribeiro,Duque de Caxias,RJ,Sudeste
183,Vanessa Lima Rodrigues,Itacoatiara,AM,Norte
184,Juliana Ferreira Vieira,Campinas,SP,Sudeste
185,Simone Mendes Lima,Caninde,CE,Nordeste
186,Sandra Costa Pereira,Santos,SP,Sudeste
187,Felipe Alves Ribeiro,Porto Seguro,BA,Nordeste
188,Larissa Nunes Souza,Paranagua,PR,Sul
189,Jose Gomes Carvalho,Lauro de Freitas,BA,Nordeste
190,Paulo Costa Rocha,Campinas,SP,Sudeste
191,Patricia Alves Mendes,Itapipoca,CE,Nordeste
192,Joao Souza Araujo,Salvador,BA,Nordeste
193,Eduardo Alves Martins,Maues,AM,Norte
194,Leonardo Vieira Souza,Camacari,BA,Nordeste
195,Fernanda Vieira Rocha,Santos,SP,Sudeste
196,Larissa Barbosa Rodrigues,Gama,DF,Centro-oeste
197,Leonardo Gomes Mendes,Itapipoca,CE,Nordeste
198,Joao Martins Ribeiro,Piracicaba,SP,Sudeste
199,Ricardo Mendes Mendes,Pocos de Caldas,MG,Sudeste
200,Bruna Rodrigues Pereira,Guarulhos,SP,Sudeste
201,Bruno Alves Araujo,Pocos de Caldas,MG,Sudeste
202,Priscila Costa Rocha,Tabatinga,AM,Norte
203,Alexandre Lima Vieira,Coari,AM,Norte
204,Sandra Gomes Alves,Coari,AM,Norte
205,Fernando Nunes Carvalho,Ribeirao Preto,SP,Sudeste
206,Felipe Lima Costa,Coari,AM,Norte
207,Diego Mendes Pereira,Porto Alegre,RS,Sul
208,Rodrigo Costa Souza,Igarassu,PE,Nordeste
209,Simone Gomes Ribeiro,Samambaia,DF,Centro-oeste
210,Mariana Santos Ferreira,Juazeiro do Norte,CE,Nordeste
211,Maria Gomes Mendes,Caninde,CE,Nordeste
212,Carlos Rocha Barbosa,Ipatinga,MG,Sudeste
213,Maria Ribeiro Gomes,Aguas Claras,DF,Centro-oeste
214,Francisca Carvalho Souza,Porto Alegre,RS,Sul
215,Felipe Lima Ribeiro,Foz do Iguacu,PR,Sul
216,Francisco Barbosa Gomes,Duque de Caxias,RJ,Sudeste
217,Patricia Rodrigues Costa,Gravata,PE,Nordeste
218,Adriana Alves Pereira,Tabatinga,AM,Norte
219,Antonia Santos Nunes,Juiz de Fora,MG,Sudeste
220,Leticia Souza Alves,Fortaleza,CE,Nordeste
221,Bruno Barbosa Mendes,Sao Bernardo do Campo,SP,Sudeste
222,Isabela Alves Mendes,Cabo Frio,RJ,Sudeste
223,Francisca Costa Santos,Paulista,PE,Nordeste
224,Fabio Carvalho Carvalho,Feira de Santana,BA,Nordeste
225,Bruna Rocha Rodrigues,Caninde,CE,Nordeste
226,Claudia Pereira Pereira,Caxias do Sul,RS,Sul
227,Jessica Vieira Silva,Brasilia,DF,Centro-oeste
228,Renata Santos Pereira,Manacapuru,AM,Norte
229,Luiz Pereira Mendes,Santa Maria,RS,Sul
230,Larissa Pereira Araujo,Gravata,PE,Nordeste
231,Rafael Carvalho Rocha,Guarapuava,PR,Sul
232,Beatriz Pereira Pereira,Tefe,AM,Norte
233,Juliana Carvalho Pereira,Crato,CE,Nordeste
234,Claudia Alves Santos,Nova Iguacu,RJ,Sudeste
235,Vanessa Alves Costa,Canoas,RS,Sul
236,Simone Costa Pereira,Tabatinga,AM,Norte
237,Eduardo Martins Gomes,Caucaia,CE,Nordeste
238,Camila Alves Martins,Belo Horizonte,MG,Sudeste
239,Gabriela Mendes Araujo,Novo Hamburgo,RS,Sul
240,Beatriz Nunes Ribeiro,Montes Claros,MG,Sudeste
241,Eduardo Costa Ferreira,Campinas,SP,Sudeste
242,Jessica Rodrigues Pereira,Maues,AM,Norte
243,Ricardo Vieira Costa,Tefe,AM,Norte
244,Diego Lima Nunes,Uberlandia,MG,Sudeste
245,Patricia Alves Vieira,Jaboatao dos Guararapes,PE,Nordeste
246,Leticia Mendes Pereira,Campos dos Goytacazes,RJ,Sudeste
247,Andre Santos Silva,Lauro de Freitas,BA,Nordeste
248,Raquel Santos Pereira,Curitiba,PR,Sul
249,Aline Nunes Mendes,Erechim,RS,Sul
250,Renata Carvalho Oliveira,Aguas Claras,DF,Centro-oeste
251,Alexandre Rodrigues Oliveira,Caruaru,PE,Nordeste
252,Alexandre Vieira Vieira,Quixada,CE,Nordeste
253,Daniel Araujo Ferreira,Planaltina,DF,Centro-oeste
254,Francisca Lima Rodrigues,Juazeiro,BA,Nordeste
255,Luiz Barbosa Martins,Governador Valadares,MG,Sudeste
256,Larissa Araujo Souza,Recanto das Emas,DF,Centro-oeste
257,Maria Gomes Araujo,Sobradinho,DF,Centro-oeste
258,Marcia Rodrigues Lima,Petropolis,RJ,Sudeste
259,Luiz Costa Oliveira,Recanto das Emas,DF,Centro-oeste
260,Carlos Gomes Silva,Crato,CE,Nordeste
261,Mariana Vieira Rodrigues,Crato,CE,Nordeste
262,Camila Gomes Costa,Guarapuava,PR,Sul
263,Guilherme Alves Mendes,Maracanau,CE,Nordeste
264,Claudia Oliveira Araujo,Maringa,PR,Sul
265,Francisca Barbosa Vieira,Tefe,AM,Norte
266,Rafael Nunes Vieira,Uberaba,MG,Sudeste
267,Tatiane Carvalho Ribeiro,Ponta Grossa,PR,Sul
268,Vanessa Mendes Mendes,Itapipoca,CE,Nordeste
269,Joao Costa Souza,Montes Claros,MG,Sudeste
270,Vinicius Alves Rocha,Quixada,CE,Nordeste
271,Jose Souza Silva,Bento Goncalves,RS,Sul
272,Camila Nunes Araujo,Governador Valadares,MG,Sudeste
273,Leonardo Alves Barbosa,Canoas,RS,Sul
274,Adriana Oliveira Mendes,Itabuna,BA,Nordeste
275,Fernando Costa Rocha,Ceilandia,DF,Centro-oeste
276,Felipe Vieira Ferreira,Montes Claros,MG,Sudeste
277,Francisco Ferreira Martins,Taguatinga,DF,Centro-oeste
278,Paulo Costa Nunes,Maringa,PR,Sul
279,Felipe Vieira Santos,Novo Hamburgo,RS,Sul
280,Beatriz Araujo Costa,Teresopolis,RJ,Sudeste
281,Patricia Gomes Santos,Ipatinga,MG,Sudeste
282,Simone Costa Nunes,Colombo,PR,Sul
283,Simone Santos Barbosa,Santa Maria,RS,Sul
284,Rafael Oliveira Barbosa,Aguas Claras,DF,Centro-oeste
285,Adriana Alves Alves,Sao Jose dos Pinhais,PR,Sul
286,Rodrigo Gomes Gomes,Governador Valadares,MG,Sudeste
287,Mariana Rodrigues Rodrigues,Igarassu,PE,Nordeste
288,Aline Araujo Carvalho,Coari,AM,Norte
289,Andre Ribeiro Mendes,Cabo Frio,RJ,Sudeste
290,Bruno Alves Costa,Presidente Figueiredo,AM,Norte
291,Beatriz Ribeiro Santos,Petropolis,RJ,Sudeste
292,Bruno Alves Rodrigues,Ilheus,BA,Nordeste
293,Gustavo Ferreira Santos,Jaboatao dos Guararapes,PE,Nordeste
294,Andre Oliveira Rodrigues,Sao Paulo,SP,Sudeste
295,Mariana Araujo Rodrigues,Niteroi,RJ,Sudeste
296,Gustavo Gomes Rodrigues,Presidente Figueiredo,AM,Norte
297,Marcia Barbosa Martins,Guara,DF,Centro-oeste
298,Francisco Rodrigues Souza,Vitoria da Conquista,BA,Nordeste
299,Antonio Pereira Nunes,Ribeirao Preto,SP,Sudeste
300,Larissa Alves Carvalho,Iguatu,CE,Nordeste
301,Ricardo Vieira Oliveira,Governador Valadares,MG,Sudeste
302,Eduardo Ferreira Costa,Ribeirao Preto,SP,Sudeste
303,Jose Carvalho Rocha,Garanhuns,PE,Nordeste
304,Vanessa Vieira Rodrigues,Manacapuru,AM,Norte
305,Bruna Mendes Oliveira,Caxias do Sul,RS,Sul
306,Leonardo Vieira Santos,Santos,SP,Sudeste
307,Rafael Rocha Rocha,Londrina,PR,Sul
308,Bruno Lima Rocha,Quixada,CE,Nordeste
309,Andre Mendes Ferreira,Ceilandia,DF,Centro-oeste
310,Maria Santos Silva,Olinda,PE,Nordeste
311,Mariana Santos Nunes,Paulista,PE,Nordeste
312,Gabriela Martins Souza,Bento Goncalves,RS,Sul
313,Francisca Barbosa Gomes,Sorocaba,SP,Sudeste
314,Vinicius Gomes Vieira,Bento Goncalves,RS,Sul
315,Fabio Araujo Silva,Salvador,BA,Nordeste
316,Isabela Gomes Souza,Fortaleza,CE,Nordeste
317,Francisca Santos Pereira,Teresopolis,RJ,Sudeste
318,Tatiane Carvalho Oliveira,Contagem,MG,Sudeste
319,Gabriel Carvalho Ribeiro,Nova Iguacu,RJ,Sudeste
320,Gabriela Souza Rodrigues,Porto Seguro,BA,Nordeste
321,Simone Alves Barbosa,Petropolis,RJ,Sudeste
322,Renata Vieira Santos,Gravatai,RS,Sul
323,Priscila Gomes Lima,Autazes,AM,Norte
324,Francisco Rodrigues Souza,Novo Hamburgo,RS,Sul
325,Tatiane Oliveira Mendes,Nova Iguacu,RJ,Sudeste
326,Francisca Ribeiro Souza,Aguas Claras,DF,Centro-oeste
327,Daniel Araujo Ferreira,Paranagua,PR,Sul
328,Leonardo Vieira Pereira,Campinas,SP,Sudeste
329,Bruno Alves Rocha,Paulista,PE,Nordeste
330,Beatriz Martins Mendes,Belo Horizonte,MG,Sudeste
331,Maria Lima Santos,Uberlandia,MG,Sudeste
332,Aline Nunes Santos,Juiz de Fora,MG,Sudeste
333,Adriana Martins Mendes,Samambaia,DF,Centro-oeste
334,Marcia Costa Santos,Osasco,SP,Sudeste
335,Fabio Vieira Alves,Sao Paulo,SP,Sudeste
336,Raquel Rodrigues Souza,Serra Talhada,PE,Nordeste
337,Gabriel Rodrigues Ferreira,Pocos de Caldas,MG,Sudeste
338,Patricia Mendes Ferreira,Belo Horizonte,MG,Sudeste
339,Alexandre Mendes Santos,Ceilandia,DF,Centro-oeste
340,Diego Oliveira Pereira,Teixeira de Freitas,BA,Nordeste
341,Lucas Oliveira Martins,Igarassu,PE,Nordeste
342,Luana Araujo Costa,Angra dos Reis,RJ,Sudeste
343,Priscila Pereira Ferreira,Sorocaba,SP,Sudeste
344,Francisca Ribeiro Ferreira,Volta Redonda,RJ,Sudeste
345,Luana Costa Silva,Belo Horizonte,MG,Sudeste
346,Pedro Araujo Nunes,Caxias do Sul,RS,Sul
347,Eduardo Costa Rodrigues,Duque de Caxias,RJ,Sudeste
348,Francisco Silva Alves,Caucaia,CE,Nordeste
349,Beatriz Costa Lima,Montes Claros,MG,Sudeste
350,Felipe Santos Lima,Sao Jose dos Pinhais,PR,Sul
351,Rodrigo Souza Oliveira,Manaus,AM,Norte
352,Jessica Nunes Costa,Campos dos Goytacazes,RJ,Sudeste
353,Luana Rocha Mendes,Juiz de Fora,MG,Sudeste
354,Juliana Santos Araujo,Uberaba,MG,Sudeste
355,Diego Oliveira Oliveira,Colombo,PR,Sul
356,Maria Vieira Mendes,Juiz de Fora,MG,Sudeste
357,Simone Souza Souza,Porto Seguro,BA,Nordeste
358,Andre Mendes Vieira,Olinda,PE,Nordeste
359,Renata Carvalho Santos,Sobral,CE,Nordeste
360,Thiago Gomes Gomes,Betim,MG,Sudeste
361,Camila Lima Araujo,Maracanau,CE,Nordeste
362,Simone Rocha Martins,Colombo,PR,Sul
363,Mateus Rocha Mendes,Sao Jose dos Campos,SP,Sudeste
364,Fabio Martins Alves,Jaboatao dos Guararapes,PE,Nordeste
365,Andre Vieira Barbosa,Vitoria da Conquista,BA,Nordeste
366,Renata Oliveira Gomes,Samambaia,DF,Centro-oeste
367,Priscila Alves Lima,Juazeiro do Norte,CE,Nordeste
368,Maria Pereira Lima,Paulista,PE,Nordeste
369,Felipe Gomes Rocha,Osasco,SP,Sudeste
370,Carolina Vieira Gomes,Volta Redonda,RJ,Sudeste
371,Mariana Lima Lima,Porto Alegre,RS,Sul
372,Gabriel Rodrigues Silva,Garanhuns,PE,Nordeste
373,Gabriela Alves Ribeiro,Camacari,BA,Nordeste
374,Claudia Nunes Ferreira,Colombo,PR,Sul
375,Luana Ribeiro Oliveira,Paulista,PE,Nordeste
376,Luiz Barbosa Souza,Maracanau,CE,Nordeste
377,Fernando Carvalho Rocha,Contagem,MG,Sudeste
378,Guilherme Barbosa Rodrigues,Vitoria da Conquista,BA,Nordeste
379,Maria Barbosa Lima,Caucaia,CE,Nordeste
380,Tatiane Araujo Carvalho,Osasco,SP,Sudeste
381,Maria Ribeiro Rocha,Gravatai,RS,Sul
382,Daniel Rocha Mendes,Cascavel,PR,Sul
383,Carolina Rocha Ribeiro,Crato,CE,Nordeste
384,Fabio Carvalho Silva,Piracicaba,SP,Sudeste
385,Rafael Santos Carvalho,Rio de Janeiro,RJ,Sudeste
386,Jessica Barbosa Carvalho,Contagem,MG,Sudeste
387,Fernando Souza Rocha,Jaboatao dos Guararapes,PE,Nordeste
388,Antonia Gomes Souza,Colombo,PR,Sul
389,Bruno Gomes Ferreira,Crato,CE,Nordeste
390,Fernando Oliveira Souza,Cabo Frio,RJ,Sudeste
391,Antonia Lima Pereira,Campinas,SP,Sudeste
392,Mariana Gomes Martins,Sao Paulo,SP,Sudeste
393,Marcia Ribeiro Martins,Juazeiro,BA,Nordeste
394,Daniel Barbosa Lima,Uberlandia,MG,Sudeste
395,Ana Ferreira Souza,Uberaba,MG,Sudeste
396,Carolina Silva Rodrigues,Fortaleza,CE,Nordeste
397,Gabriel Silva Rocha,Autazes,AM,Norte
398,Fernando Pereira Costa,Presidente Figueiredo,AM,Norte
399,Fabio Ferreira Rocha,Crato,CE,Nordeste
400,Marcos Santos Rocha,Caxias do Sul,RS,Sul
401,Guilherme Barbosa Oliveira,Fortaleza,CE,Nordeste
402,Jose Nunes Nunes,Autazes,AM,Norte
403,Leticia Ribeiro Martins,Presidente Figueiredo,AM,Norte
404,Fernando Martins Barbosa,Juazeiro,BA,Nordeste
405,Amanda Souza Santos,Duque de Caxias,RJ,Sudeste
406,Francisco Carvalho Alves,Recife,PE,Nordeste
407,Gustavo Barbosa Barbosa,Osasco,SP,Sudeste
408,Jessica Mendes Costa,Uberlandia,MG,Sudeste
409,Carolina Ribeiro Rocha,Guarapuava,PR,Sul
410,Leticia Rodrigues Rodrigues,Tabatinga,AM,Norte
411,Fernanda Alves Vieira,Pocos de Caldas,MG,Sudeste
412,Camila Souza Martins,Coari,AM,Norte
413,Larissa Souza Silva,Santa Maria,RS,Sul
414,Priscila Lima Rodrigues,Manaus,AM,Norte
415,Antonia Vieira Nunes,Bento Goncalves,RS,Sul
416,Ana Carvalho Carvalho,Ribeirao Preto,SP,Sudeste
417,Simone Barbosa Pereira,Santa Maria,RS,Sul
418,Fernando Oliveira Ferreira,Sao Bernardo do Campo,SP,Sudeste
419,Juliana Ferreira Mendes,Belo Horizonte,MG,Sudeste
420,Carolina Santos Vieira,Volta Redonda,RJ,Sudeste
421,Paulo Rocha Oliveira,Tefe,AM,Norte
422,Gustavo Alves Ribeiro,Sobradinho,DF,Centro-oeste
423,Claudia Silva Souza,Sorocaba,SP,Sudeste
424,Antonia Carvalho Lima,Camacari,BA,Nordeste
425,Jose Gomes Alves,Pocos de Caldas,MG,Sudeste
426,Antonio Alves Alves,Jaboatao dos Guararapes,PE,Nordeste
427,Rodrigo Ribeiro Santos,Colombo,PR,Sul
428,Patricia Lima Araujo,Salvador,BA,Nordeste
429,Vanessa Silva Vieira,Camacari,BA,Nordeste
430,Fernando Gomes Vieira,Recife,PE,Nordeste
431,Lucas Rodrigues Carvalho,Salvador,BA,Nordeste
432,Juliana Souza Santos,Autazes,AM,Norte
433,Diego Martins Alves,Juiz de Fora,MG,Sudeste
434,Aline Alves Souza,Maues,AM,Norte
435,Fernando Oliveira Lima,Juazeiro,BA,Nordeste
436,Patricia Souza Gomes,Quixada,CE,Nordeste
437,Sandra Mendes Rodrigues,Olinda,PE,Nordeste
438,Vinicius Pereira Araujo,Quixada,CE,Nordeste
439,Luiz Costa Nunes,Maringa,PR,Sul
440,Diego Oliveira Oliveira,Samambaia,DF,Centro-oeste
441,Vanessa Nunes Costa,Planaltina,DF,Centro-oeste
442,Marcelo Oliveira Carvalho,Taguatinga,DF,Centro-oeste
443,Paulo Ferreira Mendes,Salvador,BA,Nordeste
444,Patricia Oliveira Lima,Tabatinga,AM,Norte
445,Felipe Santos Santos,Sao Jose dos Pinhais,PR,Sul
446,Bruna Carvalho Martins,Guarapuava,PR,Sul
447,Amanda Martins Costa,Ipatinga,MG,Sudeste
448,Marcelo Lima Alves,Ceilandia,DF,Centro-oeste
449,Gabriel Souza Costa,Recife,PE,Nordeste
450,Guilherme Mendes Ferreira,Taguatinga,DF,Centro-oeste
451,Fabio Ferreira Rocha,Londrina,PR,Sul
452,Andre Costa Ferreira,Taguatinga,DF,Centro-oeste
